first name,last name,year
Jeremy,Lin ,2012
Christian,Marclay ,2012
Viola,Davis ,2012
Salman,Khan ,2012
Tim,Tebow ,2012
E.L.,James ,2012
Louis,CK ,2012
,Rihanna,2012
Marco,Rubio ,2012
Ali,Ferzat ,2012
René,Redzepi ,2012
Kristen,Wiig ,2012
Anthony,Kennedy ,2012
Novak,Djokovic ,2012
Ben,Rattray ,2012
Jessica,Chastain ,2012
Yani,Tseng ,2012
Raphael,Saadiq ,2012
Elinor,Ostrom ,2012
Samira,Ibrahim ,2012
José,Andrés ,2012
Ann,Patchett ,2012
Dulce,Matuz ,2012
Henrik,Schärfe ,2012
Freeman,Hrabowski ,2012
Maryam,Durani ,2012
Manal,al-Sharif ,2012
Anjali,Gopalan ,2012
Rached,Ghannouchi ,2012
Barbara,Van Dahlen,2012
Ron,Fouchier ,2012
Donald,Sadoway ,2012
Hans,Rosling ,2012
Asghar,Farhadi ,2012
Sarah,Burton ,2012
Pete,Cashmore ,2012
Cami,Anderson ,2012
Ali,Babacan,2012
Ahmet,Davutoglu ,2012
Ai-jen,Poo ,2012
Marc,Andreessen ,2012
Preet,Bharara ,2012
Robert,Grant ,2012
Andrew,Lo ,2012
Sharmeen,Obaid-Chinoy ,2012
Alexei,Navalny ,2012
Ray,Dalio ,2012
Hamad,bin Jassim bin Jaber al-Thani,2012
Chelsea,Handler ,2012
Harvey,Weinstein ,2012
Chen,Lihua ,2012
Warren,Buffett ,2012
Alice,Walton ,2012
Harold,Hamm ,2012
Sheryl,Sandberg ,2012
Sara,Blakely ,2012
Tim,Cook ,2012
Eike,Batista ,2012
Daniel,Ek ,2012
Virginia,Rometty ,2012
Barack,Obama ,2012
Goodluck,Jonathan ,2012
Xi,Jinping ,2012
Fatou,Bensouda ,2012
Christine,Lagarde ,2012
Mario,Draghi ,2012
U,Thein Sein,2012
Ayatullah,Ali Khamenei,2012
Mitt,Romney ,2012
Juan,Manuel Santos,2012
Timothy,Dolan ,2012
Portia,Simpson Miller,2012
Mario,Monti ,2012
Wang,Yang ,2012
Maria,das Graças Silva Foster,2012
Andrew,Cuomo ,2012
Iftikhar,Chaudhry ,2012
Mamata,Banerjee ,2012
Walter,Isaacson ,2012
Ron,Paul ,2012
Benjamin,Netanyahu ,2012
Dilma,Rousseff ,2012
Erik,Martin ,2012
Cecile,Richards ,2012
Angela,Merkel ,2012
Lionel,Messi ,2012
Tilda,Swinton ,2012
Hillary,Clinton ,2012
Kate,Middleton,2012
Pippa Middleton,,2012
,Adele,2012
Howard,Stern,2012
Matt,Lauer,2012
Oscar,Pistorius ,2012
Claire,Danes ,2012
Stephen,Colbert,2012
Jay,Z,2013
Valerie,Jarrett,2013
Elon,Musk,2013
Oh-Hyun,Kwon,2013
Scooter,Braun,2013
Kevin,Systrom,2013
Michael,Kors,2013
Palaniappan,Chidambaram,2013
Ren,Zhengfei,2013
